epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.15303,0,0,53.1298,0,0,0,0,0,0,0,0,0,0,0,81.1042,0,0.000652482,0.000652482,0.000652482
2,8.63164,0,0,38.1268,0,0,0,0,0,0,0,0,0,0,0,32.4922,0,0.00129303,0.00129303,0.00129303
3,12.0437,0,0,31.7307,0,0,0,0,0,0,0,0,0,0,0,25.8516,0,0.00190718,0.00190718,0.00190718
4,15.7879,0,0,27.5473,0,0,0,0,0,0,0,0,0,0,0,inf,0,0.0018812,0.0018812,0.0018812
5,19.9523,0,0,22.9209,0,0,0,0,0,0,0,0,0,0,0,2873.67,0,0.0018416,0.0018416,0.0018416
6,24.2528,0,0,18.7046,0,0,0,0,0,0,0,0,0,0,0,12.3457,0,0.001802,0.001802,0.001802
7,28.709,0,0,15.2836,0,0,0,0,0,0,0,0,0,0,0,12.3626,0,0.0017624,0.0017624,0.0017624
8,33.128,0,0,12.2979,0,0,0,0,0,0,0,0,0,0,0,31.4531,0,0.0017228,0.0017228,0.0017228
9,37.1757,0,0,9.76518,0,0,0,0,0,0,0,0,0,0,0,137.896,0,0.0016832,0.0016832,0.0016832
10,41.2349,0,0,7.66824,0,0,0,0,0,0,0,0,0,0,0,124.756,0,0.0016436,0.0016436,0.0016436
11,45.1141,0,0,5.97332,0,0,0,0,0,0,0,0,0,0,0,0.04004,0,0.001604,0.001604,0.001604
12,48.78,0,0,4.67509,0,0,0,0,0,0,0,0,0,0,0,0.08382,0,0.0015644,0.0015644,0.0015644
13,52.6591,0,0,3.56474,0,0,0,0,0,0,0,0,0,0,0,0.06124,0,0.0015248,0.0015248,0.0015248
14,56.268,0,0,2.71021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014852,0.0014852,0.0014852
15,59.5774,0,0,2.05525,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
16,62.7875,0,0,1.55022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
17,65.9922,0,0,1.16813,0,0,0,0,0,0,0,0,0,0,0,0.00553,0,0.0013664,0.0013664,0.0013664
18,69.2383,0,0,0.88113,0,0,0,0,0,0,0,0,0,0,0,0.00391,0,0.0013268,0.0013268,0.0013268
19,72.4566,0,0,0.66485,0,0,0,0,0,0,0,0,0,0,0,0.00065,0,0.0012872,0.0012872,0.0012872
20,75.6738,0,0,0.50304,0,0,0,0,0,0,0,0,0,0,0,0.00228,0,0.0012476,0.0012476,0.0012476
